Groceries & Markets
Vendor,Total
CHERIANS INTERNATIONAL,-84.42
COSTCO,37.70
FCS FOOD AND NUTRITION,0.00
FRESH MEAT IN MART,-20.68
INDIFRESH,-94.29
KROGER,-336.79
WEGMANS,-9.99
Category Total,-508.47

Restaurants & Food
Vendor,Total
CHIPOTLE,0.00
DESI DISTRICT,0.00
DOMINOS,-28.11
DUNKIN,0.00
MCDONALDS,0.00
NALAN INDIAN CUISINE,-319.73
SUBWAY,-45.72
TACO BELL,-6.62
Category Total,-400.18

Shopping & Retail
Vendor,Total
AMAZON,-622.95
AUTOPAY,0.00
BA,101.61
BEAUTY AMBASSADORS,0.00
BESTBUYCOM807124849537,-748.99
CVS/PHARMACY,-7.48
DOLLAR TREE,-5.89
KED'S,-30.45
NSM,-1424.79
ONLINE,101.61
PMT*GA,-25.00
PMT*SERVICE,-1.00
REVERSAL,10.00
TANISHQ,0.00
TARGET,-75.80
TJ MAXX,0.00
WALMART,-20.19
Category Total,-2749.32

Auto & Gas
Vendor,Total
COSTCO GAS,0.00
SHELL,-41.81
WAWA,-48.53
Category Total,-90.34

Utilities Bills & Insurance
Vendor,Total
AAA LIFE INSURANCE,0.00
ATGPAY,-171.40
COMCAST,-51.05
CONSTELLATION ENERGY,-72.93
FC WATER&SEWER,0.00
RED OAK SANITATION,0.00
SAWNEE ELECTRIC,-151.14
TELLO,-11.78
TMOBILE,-219.96
TRAVELERS-GEICO,-162.92
Category Total,-841.18

Health
Vendor,Total
EMORY CLINIC,-260.00
TELADOC,-16.20
Category Total,-276.20

Entertainment
Vendor,Total
AMC,-40.47
HAWKMUSIC ACADEMY,-280.00
LEAGUE TENNIS,-30.00
URBAN AIR,0.00
Category Total,-350.47

Home & Services
Vendor,Total
HOME DEPOT,0.00
WWP GOT BUGS,-40.50
Category Total,-40.50


Category,Total,Percent
Groceries & Markets,-508.47,9.67%
Restaurants & Food,-400.18,7.61%
Shopping & Retail,-2749.32,52.30%
Auto & Gas,-90.34,1.72%
Utilities Bills & Insurance,-841.18,16.00%
Health,-276.20,5.25%
Entertainment,-350.47,6.67%
Home & Services,-40.50,0.77%
Total,-5256.66,100.00%
