Posted Date,Reference Number,Payee,Address,Amount
01/26/2026,24000776025100019840192,"FORSYTH COUNTY PARKS WWW.FORSYTHCOGA","WWW.FORSYTHCO GA ",-63.49
01/23/2026,24692166023100861039595,"AMAZON MKTPL*LN8BI7K03 Amzn.com/billWA","Amzn.com/bill WA ",-14.54
01/22/2026,24231686021747001307873,"SAWNEE ELECTRIC MEMBERSH SAWNEE.SMARTHGA","SAWNEE.SMARTH GA ",-155.00
01/22/2026,24011346022100013767492,"SP DENMARK HIGH SCHOOL 147-05332521 GA","147-05332521  GA ",-0.75
01/21/2026,24445716020300507442725,"KROGER FUEL #1627 CUMMING GA","CUMMING       GA ",-35.60
01/21/2026,24692166020108971775811,"AMAZON MKTPL*LI1UC3M83 Amzn.com/billWA","Amzn.com/bill WA ",-10.69
01/21/2026,24692166020108495939646,"AMAZON MKTPL*XM5LM0HA3 Amzn.com/billWA","Amzn.com/bill WA ",-16.04
01/21/2026,01973500020847000097923,"BA ELECTRONIC PAYMENT","",1500.00
01/20/2026,24116416020716441110521,"OPTICONTACTS.COM 866-982-5367 WA","866-982-5367  WA ",-110.40
01/20/2026,24692166019107796704801,"AMAZON PRIME*C62LO7E23 amzn.com/billWA","amzn.com/bill WA ",-2.99
01/20/2026,01920405720080874542886,"ONLINE PAYMENT FROM CHK 6558","",2000.00
01/19/2026,24445716018300518890437,"KROGER #627 CUMMING GA","CUMMING       GA ",-30.00
01/19/2026,24445716018300518890353,"KROGER #627 CUMMING GA","CUMMING       GA ",-109.79
01/19/2026,24692166018107162019892,"AMAZON MKTPL*ZD4CG9IF3 Amzn.com/billWA","Amzn.com/bill WA ",-17.11
01/19/2026,24692166018107127924822,"AMAZON MKTPL*6U1ZJ5EB3 Amzn.com/billWA","Amzn.com/bill WA ",-10.15
01/19/2026,24943006018363141241710,"DUNKIN #350745 Q35 CUMMING GA","CUMMING       GA ",-6.81
01/17/2026,24011346017100050176737,"AMAZON RETA* J17WV2NG3 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-3.52
01/17/2026,24445716016300565863131,"KROGER #486 CUMMING GA","CUMMING       GA ",-20.61
01/15/2026,24316056014614751073555,"SHELL OIL 10015047003 CUMMING GA","CUMMING       GA ",-5.44
01/14/2026,24692166013102337509559,"AMAZON MKTPL*TD5ZB07I3 Amzn.com/billWA","Amzn.com/bill WA ",-21.39
01/13/2026,74692166012101840049760,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",56.50
01/13/2026,74692166012101813336962,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",117.69
01/12/2026,24210736012131108038344,"GA CORPORATE REGISTRATIO SOS.GA.GOV GA","SOS.GA.GOV    GA ",-110.00
01/12/2026,24692166010100043101730,"AMAZON MKTPL*XR5QC0A73 Amzn.com/billWA","Amzn.com/bill WA ",-10.69
01/12/2026,24692166010109971795223,"AMAZON MKTPL*5R6A903S3 Amzn.com/billWA","Amzn.com/bill WA ",-160.48
01/10/2026,24027626010067503451492,"PAYPAL *HAWK MUSIC 678-787-1075 GA","678-787-1075  GA ",-25.00
01/09/2026,24692166008108176036494,"AMAZON PRIME*2B3RH6563 Amzn.com/billWA","Amzn.com/bill WA ",-16.04
01/08/2026,24036296007714420256431,"CONSTELLATION NEW ENERGY 312-394-7399 IL","312-394-7399  IL ",-90.33
01/08/2026,24027626007067378521945,"PAYPAL *PAYPAL GATS 402-935-7733 CA","402-935-7733  CA ",-50.00
01/08/2026,74692166007107223850903,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",54.56
01/08/2026,74692166007107219372763,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",25.67
01/08/2026,74692166007107218616269,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",6.08
01/08/2026,74692166007107208743339,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",85.59
01/08/2026,74692166007107204394947,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",11.97
01/07/2026,24692166007106564487965,"AMAZON MKTPL*O83FF7AH3 Amzn.com/billWA","Amzn.com/bill WA ",-26.62
01/07/2026,24231686006747000414034,"SAWNEE ELECTRIC MEMBERSH SAWNEE.SMARTHGA","SAWNEE.SMARTH GA ",-151.99
01/06/2026,24692166005105576490829,"TRAVELERS-GEICO AGENCY 877-205-5772 CT","877-205-5772  CT ",-162.92
01/05/2026,24445006005600205757208,"DOLLAR-GENERAL #1025 CUMMING GA","CUMMING       GA ",-2.68
01/05/2026,24011346003100105768690,"AMAZON RETA* NZ6L22D63 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-9.63
01/03/2026,24943006003354457864747,"COSTCO GAS #0743 ALPHARETTA GA","ALPHARETTA    GA ",-29.09
01/03/2026,24943006003354454220554,"COSTCO WHSE #0743 ALPHARETTA GA","ALPHARETTA    GA ",-79.47
01/02/2026,24692166002102003743642,"AMAZON MKTPL*4S6BF0FJ3 Amzn.com/billWA","Amzn.com/bill WA ",-25.67
01/02/2026,24692166002101997216581,"AMAZON MKTPL*QH7GF6L23 Amzn.com/billWA","Amzn.com/bill WA ",-85.59
01/02/2026,24445006001300517153543,"WWP*GOT BUGS INC. 404-468-2847 GA","404-468-2847  GA ",-40.50
01/02/2026,24011346001100035014571,"HAWKMUSICACADEMY.COM HAWKMUSICACADCA","HAWKMUSICACAD CA ",-280.00
01/02/2026,24943015365010192230205,"HOMEDEPOT.COM 800-430-3376 GA","800-430-3376  GA ",-13.87
01/02/2026,24692165365101005610414,"AMAZON MKTPL*FQ9GY87U3 Amzn.com/billWA","Amzn.com/bill WA ",-21.39
01/02/2026,24692165365100807659991,"AMAZON MKTPL*TT00D6MC3 Amzn.com/billWA","Amzn.com/bill WA ",-117.69
01/02/2026,24610435365004031598163,"ROSS STORE #581 CUMMING GA","CUMMING       GA ",-20.30
01/02/2026,24692165365100770086131,"AMAZON MKTPL*216XR4D73 Amzn.com/billWA","Amzn.com/bill WA ",-123.03
12/31/2025,24164075364091008073507,"TARGET 00013946 CUMMING GA","CUMMING       GA ",-26.09
12/31/2025,24164075364091008126388,"TARGET 00013946 CUMMING GA","CUMMING       GA ",-45.60
12/31/2025,24164075364091017360820,"TARGET 00013946 CUMMING GA","CUMMING       GA ",-4.11
12/30/2025,24011345364100057499448,"AMAZON RETA* 5353T6LT3 WWW.AMAZON.COWA","WWW.AMAZON.CO WA ",-9.41
12/30/2025,24445005364000876656838,"DOLLAR TREE CUMMING GA","CUMMING       GA ",-5.89
12/30/2025,24455015363141001839316,"WAL-MART #0878 CUMMING GA","CUMMING       GA ",-20.19
12/30/2025,24445715363300481135490,"KROGER FUEL #1627 CUMMING GA","CUMMING       GA ",-20.91
12/30/2025,24801975363598206817353,"FRESH MEAT IN MART CUMMING GA","CUMMING       GA ",-20.68
